id,標題,內文,回應數量,發文時間,愛心數量,標註,分類,全文
233914206,1-56 流行音樂詞曲賞析,"上禮拜不舒服沒去上課
請問各位下禮拜有什麼作業要交的或是有什麼重要事項嗎>_<

非常感謝！大家期末都歐趴！",3,2020-06-20T16:38:34.669Z,2,[],中原大學
233913071,高一誠-統計學,"有人知道老師期末小考的附件練習題是哪個嗎？
是影片中的東西嗎🙏🙏🙏",1,2020-06-20T13:55:14.925Z,1,"['中原', '期末考', '統計學']",中原大學
232567974,實用英文,請問這學期實用英文一停休，下學期還可以上實用英文二嗎,2,2019-11-25T08:01:19.455Z,4,['英文'],中原大學
229584946,物理化學（二）那個老師好過？,"物理化學（二）
開課的都是化工系 

老師分別是
張雍
周崇榮

但是對化工系 不熟
有人可以說明一下那個老師比較好過嗎？

或是有什麼意見？",14,2018-09-06T08:59:12.884Z,8,"['中原', '選課', '考試', '問題']",中原大學
229581591,5-34 談士榮 文化思想史,"請問各位大哥大姐有沒有人修過這位老師的課
目前選課大全登不進去
低卡關鍵字也都搜尋過了沒看到關於這位老師的上課方式和評價
請問是新老師嗎？",0,2018-09-05T17:48:31.331Z,0,"['選課', '中原']",中原大學
229577254,小大一的選課疑惑,跪問各位學長姐 大一上選課該選什麼好 還是都不要選🤔,9,2018-09-05T07:32:53.291Z,4,"['中原', '選課']",中原大學
229574994,不要怕，通識選桃學趣！,"那個～如果還選不到通識課的同學，可以考慮選何彩滿老師的桃學趣！

這門課目前只開了兩學期，因為是新課，所以很多人不知道評價沒選，
不過我必須說真的是很有內容，而且很有趣的課！

桃學趣是地方學系列的課，可以想像成多認識桃園中壢的文化的課，
所以這門課會有很多可以去外面見(ㄧㄡˊ)學(ㄨㄢˊ)的機會，
而見學的時數也是算在課堂時數裡的不會占用額外時間。

也就是說，雖然你看到星期四有很晚的課，但是不要怕！
他會累積起來讓你搭著遊覽車去外面見學（而且不用錢），
不會讓你每周都有超晚的課，真的不要怕！

甜不甜的問題，我只能說這門課沒有考試，
只要不要混，不過都很難。

好啦說到這裡，真的還沒辦法打動你的話，
我只能說，上學期這門課女生滿多的，男生們懂了嗎？

好惹不鬧，真的是不會麻煩的課啦，
希望大家選，別讓優質通識課倒惹。",11,2018-09-04T19:25:53.787Z,49,['通識'],中原大學
229569892,韓文課選擇,下學期想修韓文課，上了開課查詢系統有兩門課。金秀真跟姜仁圭兩位老師，有人有修過兩位老師的韓文課嗎？比較推薦哪一位老師的課，希望有上過的給一點上課的意見。,9,2018-09-04T06:58:22.844Z,6,"['中原', '問題', '考試', '選課', '閒聊']",中原大學
226973262,街頭行動藝術,"魏立心 街頭行動藝術
上課內容大概是什麼？老師教課方式如何？
懇求修過的人",11,2017-08-10T09:26:06.351Z,6,[],中原大學
226972521,賴玲瑩-人生哲學,"請問有修過的同學可以給一下評價嗎
選課大全上找不到評價
謝謝🙏🏻",2,2017-08-10T06:55:34.400Z,4,[],中原大學
226972151,轉職資工,"請問各位30cm資深工具大大們
想從非理工轉職到資工系需要注意什麼
有推薦哪些老師的課😆
還有系上資源或設備如何呢
如果演算法跟資結沒什麼基礎過去會死亡嗎",19,2017-08-10T05:41:18.447Z,4,[],中原大學
226971588,問 陳克舟老師 排球,"如題~~
之前就聽說這位老師人很好
而且是帶校隊的
但還是想知道更多 
像上課會不會分組練習 會不會讓我們自由打球 評分標準跟1600m可以跑幾次(跑步很慢😢😢
選課大全上都沒寫 
麻煩有修過的同學解答唷😀🙇",10,2017-08-10T03:39:45.313Z,6,[],中原大學
226970103,楊啓均是最好的老師 大家快去修他的爽課！,"爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽爽過

有人只去點一兩次名 考考就過",27,2017-08-09T18:15:18.538Z,26,[],中原大學
226969165,問/陳建廷 籃球🏀,"想請問有修過陳建廷老師開的籃球課的同學

老師的上課方式和評分標準如何呢？

選課大全裡沒有太多評價

所以麻煩有修過的同學回答一下了 

謝謝🙏",11,2017-08-09T16:09:56.709Z,14,[],中原大學
226965826,#問 美食的真相 招名威,請問老師給的分數如何和課程內容會好過嗎??,9,2017-08-09T06:44:25.513Z,3,[],中原大學
226964929,提問 個體經濟學 陳佑倫,早上看選課結果發現有選上，想問這位老師的詳情，因為剛才都找不到。,5,2017-08-09T03:37:40.834Z,1,[],中原大學
226964920,牟萬馨的貨幣銀行學,"如題，剛剛搜過好像沒有人講到她上的銀行學如何，想問一下這位老師的上課風格、成績計算、跟考試方式?

謝謝喔~~~",12,2017-08-09T03:33:47.601Z,6,[],中原大學
226964715,問 1-34 黃信二 哲學與思考,"請問大家推這門課嗎
選課大全上的評價都是正的
可是好像有人反推這個老師？
想請問一下上課方式跟評分方式",2,2017-08-09T02:33:14.908Z,4,[],中原大學
